Condition	Restricted no lipid medications	total_Non Carrier_AMP-T2D-GENES	Mean (95% CI) Non Carrier_AMP-T2D-GENES	count_Non Carrier_AMP-T2D-GENES	prop_Non Carrier_AMP-T2D-GENES	total_Carrier_AMP-T2D-GENES	Mean (95% CI) Carrier_AMP-T2D-GENES	count_Carrier_AMP-T2D-GENES	prop_Carrier_AMP-T2D-GENES	Beta (se)_AMP-T2D-GENES_cont	P value_AMP-T2D-GENES_cont	Beta (se)_AMP-T2D-GENES_binary	P value_AMP-T2D-GENES_binary	OR_AMP-T2D-GENES	total_Non Carrier_UKBB	Mean (95% CI) Non Carrier_UKBB	count_Non Carrier_UKBB	prop_Non Carrier_UKBB	total_Carrier_UKBB	Mean (95% CI) Carrier_UKBB	count_Carrier_UKBB	prop_Carrier_UKBB	Beta (se)_UKBB_cont	P value_UKBB_cont	Beta (se)_UKBB_binary	P value_UKBB_binary	OR_UKBB
High LDL (>190 mg/dl)		19131	123.19   (122.65-123.72)	850	0.0444 (0.0416-0.0474)	55	170.00   (149.90-190.11)	17	0.309 (0.191-0.448)	45.6 (4.74)	8.3e-22	2.38 (0.317)	9.23e-11	10.8 (7.9-14.9)	36336	137.04   (136.70-137.38)	2224	0.0612 (0.0588-0.0637)	83	157.89   (147.63-168.15)	18	0.217 (0.134-0.321)	20.8 (3.53)	4.3e-09	1.46 (0.268)	1.84e-06	4.32 (3.31-5.65)
High LDL (>190 mg/dl) no lipid meds	Yes	9498	129.61   (128.87-130.34)	519	0.0546 (0.0502-0.0594)	16	186.15   (137.70-234.60)	7	0.438 (0.198-0.701)	36.3 (5.35)	1.22e-11	1.95 (0.391)	1.79e-05	7.05 (4.77-10.4)	28812	142.54   (142.18-142.89)	1972	0.0684 (0.0656-0.0714)	24	188.65   (173.18-204.13)	10	0.417 (0.221-0.634)	34.2 (3.37)	3.68e-24	1.86 (0.272)	7.37e-09	6.44 (4.9-8.45)
High LDL ADJ (>190 mg/dl)		19131	135.20   (134.60-135.80)	1729	0.0904 (0.0864-0.0945)	55	198.40   (178.07-218.72)	28	0.509 (0.371-0.646)	  56 (5.51)	3.89e-24	2.25 (0.284)	3.3e-14	9.45 (7.11-12.5)	36336	147.34   (146.97-147.71)	3869	0.106 (0.103-0.11)	83	202.18   (189.46-214.89)	40	0.482 (0.371-0.594)	54.2 (3.87)	1.64e-44	2.07 (0.222)	   0	7.94 (6.36-9.91)
Low LDL (<80 mg/dl)		19151	123.42   (122.88-123.95)	2149	0.112 (0.108-0.117)	35	71.57   (62.33-80.81)	23	0.657 (0.478-0.809)	-49.5 (6.14)	8.19e-16	2.92 (0.471)	6.11e-08	18.6 (11.6-29.8)	36329	137.21   (136.87-137.55)	1144	0.0315 (0.0297-0.0333)	90	88.92   (82.63-95.20)	37	0.411 (0.308-0.52)	-47.6 (3.39)	1.14e-44	4.85 (0.448)	2.45e-13	128 (81.7-200)
Low LDL (<80 mg/dl) no lipid meds	Yes	9490	129.85   (129.11-130.59)	681	0.0718 (0.0666-0.0771)	24	70.33   (58.63-82.02)	17	0.708 (0.489-0.874)	 -50 (6.58)	3.18e-14	2.94 (0.496)	2.52e-07	18.9 (11.5- 31)	28751	142.73   (142.38-143.08)	343	0.0119 (0.0107-0.0133)	85	90.00   (83.55-96.45)	33	0.388 (0.284- 0.5)	-51.8 (3.22)	5.52e-58	5.79 (0.536)	2.22e-15	327 (191-558)
Low LDL ADJ (<80 mg/dl)		19151	135.49   (134.88-136.09)	1273	0.0665 (0.063-0.0701)	35	77.00   (66.01-87.99)	22	0.629 (0.449-0.785)	-56.1 (7.14)	4.35e-15	3.23 (0.468)	4.91e-08	25.2 (15.8-40.3)	36329	147.60   (147.23-147.97)	393	0.0108 (0.00978-0.0119)	90	90.60   (84.22-96.97)	35	0.389 (0.288-0.497)	-56.4 (3.72)	6.89e-52	6.09 (0.561)	1.06e-12	440 (251-771)
High HDL (>70 mg/dl)		28974	49.34   (49.17-49.52)	2717	0.0938 (0.0904-0.0972)	21	64.06   (55.03-73.09)	7	0.333 (0.146-0.57)	16.5 (   3)	3.58e-08	1.62 (0.472)	0.00101	5.06 (3.16-8.12)	34541	57.25   (57.10-57.41)	6476	0.187 (0.183-0.192)	20	76.97   (65.43-88.52)	12	 0.6 (0.361-0.809)	16.8 ( 2.4)	2.27e-12	1.62 (0.511)	0.000455	5.08 (3.04-8.47)
High triglycerides (>200 mg/dl)		29635	159.07   (157.70-160.45)	6774	0.229 (0.224-0.233)	20	276.54   (199.84-353.25)	11	0.55 (0.315-0.769)	0.548 (0.117)	2.8e-06	1.53 (0.468)	0.00102	4.63 (2.9-7.39)	36376	150.43   (149.54-151.31)	7375	0.203 (0.199-0.207)	54	268.80   (220.82-316.77)	28	0.519 (0.378-0.657)	0.539 (0.0658)	2.72e-16	1.59 (0.278)	2.53e-08	4.91 (3.71-6.48)
High triglycerides (>200 mg/dl) no lipid meds	Yes	14921	150.69   (149.03-152.35)	3051	0.204 (0.198-0.211)	8	223.90   (107.32-340.49)	3	0.375 (0.0852-0.755)	0.522 (0.13)	6.34e-05	 1.6 (0.519)	0.00184	4.94 (2.94-8.29)	28801	144.72   (143.77-145.67)	5224	0.181 (0.177-0.186)	41	281.67   (220.70-342.64)	21	0.512 (0.351-0.671)	0.534 (0.0657)	4.27e-16	1.58 (0.279)	3.58e-08	4.84 (3.66-6.4)
High triglycerides ADJ (>200 mg/dl)		29635	165.91   (164.45-167.37)	7507	0.253 (0.248-0.258)	20	298.28   (213.37-383.20)	11	0.55 (0.315-0.769)	0.564 (0.118)	1.92e-06	1.34 (0.468)	0.00388	3.81 (2.38-6.08)	36376	156.76   (155.80-157.71)	8238	0.226 (0.222-0.231)	54	278.49   (230.25-326.74)	30	0.556 (0.414-0.691)	0.548 (0.0668)	2.4e-16	1.61 (0.28)	1.19e-08	5.02 (3.79-6.64)
